Applicant Name,"Type of organisation
(NPO/IPSO/Transfer)",National Youth Music Organisation,2018-22 Average Annual Funding (Figure accurate at April 2018),2022/23 Annual Funding (Extension year),2023-26 Annual Funding (Offered 4 Nov 2022),Main Discipline,ACE Area,ONS region,Constituency,Local authority,Levelling Up For Culture Place,Priority Place,Comments
IOU Ltd,NPO,,185000,188404,188404,Combined arts,North,Yorkshire and The Humber,Halifax,Calderdale,Non-LUCP,Non-Priority place,
IRIE! dance theatre,NPO,,0,0,239392,Dance,London,London,"Lewisham, Deptford",Lewisham,Non-LUCP,Non-Priority place,
Ironbridge Gorge Museum Trust,NPO,,1043759,1062964,749709,Museums,Midlands,West Midlands,Telford,Telford and Wrekin,Non-LUCP,Non-Priority place,See Museums Development comment on the 'MD comments' tab.
JACARANDA BOOKS,NPO,,0,0,150000,Literature,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,
Jacksons Lane,NPO,,129748,132135,132135,Combined arts,London,London,Hornsey and Wood Green,Haringey,Non-LUCP,Non-Priority place,
Jaivant Patel Company CIC,NPO,,0,0,195000,Dance,Midlands,West Midlands,Wolverhampton South East,Wolverhampton,LUCP,Priority place,
Jarrow Hall,NPO,,0,0,125000,Museums,North,North East,Jarrow,South Tyneside,LUCP,Priority place,
Jasmin Vardimon Dance Company,NPO,,289567,294895,389895,Dance,South East,South East,Ashford,Ashford,Non-LUCP,Non-Priority place,
Jazz North,NPO,,190000,193496,193496,Music,North,Yorkshire and The Humber,Calder Valley,Calderdale,Non-LUCP,Non-Priority place,
Jazz re:freshed,NPO,,130795,133202,300000,Music,London,London,"Lewisham, Deptford",Lewisham,Non-LUCP,Non-Priority place,
Jelly,NPO,,0,0,60000,Visual arts,South East,South East,Reading East,Reading,Non-LUCP,Non-Priority place,
Jewish Museum London,NPO,,0,224048,224000,Museums,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,"Started the 2018-22 portfolio as NPOs, but for various reasons didn't complete the funding period."
Jewish Music Institute,NPO,,0,0,128333,Music,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,
John Hansard Gallery,NPO,,601511,612579,612579,Visual arts,South West,South East,"Southampton, Itchen",Southampton,Non-LUCP,Non-Priority place,
Jumped Up Theatre,NPO,,0,0,150000,Theatre,South East,East of England,Peterborough,Peterborough,LUCP,Priority place,
Junction Arts Limited,NPO,,100580,102431,252431,Combined arts,Midlands,East Midlands,Chesterfield,Chesterfield,LUCP,Priority place,
Junction CDC Ltd,NPO,,637418,649146,649146,Combined arts,South East,East of England,Cambridge,Cambridge,Non-LUCP,Non-Priority place,
Just Us Dance Theatre Company,NPO,,0,0,180000,Dance,London,London,Chingford and Woodford Green,Redbridge,Non-LUCP,Non-Priority place,
Kakilang,NPO,,175000,178220,178220,Combined arts,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,
Kala Sangam,NPO,,100000,101840,361840,Combined arts,North,Yorkshire and The Humber,Bradford East,Bradford,Non-LUCP,Non-Priority place,
Kala The Arts,NPO,,0,0,110000,Dance,South West,South East,Basingstoke,Basingstoke and Deane,Non-LUCP,Non-Priority place,
Kali Theatre Co.,NPO,,196500,200116,200116,Theatre,London,London,"Lewisham, Deptford",Lewisham,Non-LUCP,Non-Priority place,
KARST,NPO,,140000,142576,142576,Visual arts,South West,South West,"Plymouth, Sutton and Devonport",Plymouth,Non-LUCP,Non-Priority place,
Kayd Somali Arts and Culture,NPO,,0,0,150000,Combined arts,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,
Kendal Brewery Arts Centre,NPO,,321854,327776,327776,Combined arts,North,North West,Westmorland and Lonsdale,South Lakeland,Non-LUCP,Non-Priority place,
Kent County Council Libraries,NPO,,0,0,285290,Libraries,South East,South East,Maidstone and The Weald,Maidstone,Non-LUCP,Non-Priority place,
Kettle's Yard,NPO,,290757,296107,296107,Visual arts,South East,East of England,Cambridge,Cambridge,Non-LUCP,Non-Priority place,
Kids in Museums,IPSO,,160000,162944,162944,Museums,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,
Kiln Theatre,NPO,,829519,844782,945901,Theatre,London,London,Hampstead and Kilburn,Brent,Non-LUCP,Priority place,
Kinetika Bloco,NPO,,80000,81472,81472,Combined arts,London,London,Vauxhall,Lambeth,Non-LUCP,Non-Priority place,
Kinetika People,NPO,,123850,126129,126129,Combined arts,South East,East of England,Thurrock,Thurrock,LUCP,Non-Priority place,
Kirklees Museums and Galleries,NPO,,0,0,284103,Museums,North,Yorkshire and The Humber,Huddersfield,Kirklees,LUCP,Priority place,
Kirklees Theatre Trust,NPO,,148531,151264,151264,Combined arts,North,Yorkshire and The Humber,Huddersfield,Kirklees,LUCP,Priority place,
Knowle West Media Centre,NPO,,90522,92188,92188,Combined arts,South West,South West,Bristol South,"Bristol, City of",Non-LUCP,Non-Priority place,
Koestler Trust,NPO,,75000,76380,76380,Combined arts,London,London,Hammersmith,Hammersmith and Fulham,Non-LUCP,Non-Priority place,
Lakes Arts Festivals Ltd,NPO,,234000,238306,238306,Literature,North,North West,Westmorland and Lonsdale,South Lakeland,Non-LUCP,Non-Priority place,
Lancaster Arts at Lancaster University,NPO,,103053,104949,104949,Combined arts,North,North West,Lancaster and Fleetwood,Lancaster,Non-LUCP,Non-Priority place,
Lapworth Museum of Geology,NPO,,104746,106673,106673,Museums,Midlands,West Midlands,"Birmingham, Edgbaston",Birmingham,Non-LUCP,Non-Priority place,
Latinolife,NPO,,0,0,125000,Music,London,London,Hornsey and Wood Green,Haringey,Non-LUCP,Non-Priority place,
Ledbury Poetry Festival,NPO,,53066,54042,108042,Literature,Midlands,West Midlands,North Herefordshire,"Herefordshire, County of",Non-LUCP,Non-Priority place,
Leeds Museums and Galleries,NPO,,1590000,1619256,1619256,Museums,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,
Leeds Theatre Trust Limited,NPO,,1508104,1535853,1535853,Theatre,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,
Legacy Centre Of Excellence,NPO,,0,0,750000,Combined arts,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,
Leicester Arts Centre Limited,NPO,,80464,81945,81945,Visual arts,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,
Leicester City Council,NPO,,400000,407360,407360,Museums,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,
Leicester Dance Theatre Limited,NPO,,365000,371716,371716,Dance,Midlands,East Midlands,Leicester East,Leicester,Non-LUCP,Non-Priority place,
Leicester Print Workshop,NPO,,70290,71583,70290,Visual arts,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,
Leicester Theatre Trust Ltd,NPO,,1914029,1949247,1949247,Theatre,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,
Leicestershire County Council,NPO,,0,303665,260999,Museums,Midlands,East Midlands,Charnwood,Blaby,Non-LUCP,Non-Priority place,See Museums Development comment on the 'MD comments' tab.
Level Centre Ltd,NPO,,138800,141354,141354,Combined arts,Midlands,East Midlands,Derbyshire Dales,Derbyshire Dales,Non-LUCP,Non-Priority place,
Libraries Connected,IPSO (Transfer),,500000,509200,509200,Libraries,London,London,Islington North,Islington,Non-LUCP,Non-Priority place,
Libraries Unlimited South West,NPO,,171959,175123,240123,Libraries,South West,South West,Exeter,Exeter,Non-LUCP,Non-Priority place,
Lincolnshire County Council,NPO,,71411,72725,205910,Museums,Midlands,East Midlands,Lincoln,Lincoln,Non-LUCP,Non-Priority place,
Literature Works,NPO,,96556,98333,98333,Literature,South West,South West,"Plymouth, Sutton and Devonport",Plymouth,Non-LUCP,Non-Priority place,
Little Bulb Theatre,NPO,,0,0,240000,Theatre,South West,South West,Somerton and Frome,Mendip,Non-LUCP,Non-Priority place,
Littleworld Ltd t/a Horse and Bamboo Theatre,NPO,,123632,125907,160907,Theatre,North,North West,Rossendale and Darwen,Rossendale,LUCP,Non-Priority place,
Live & Local Ltd,NPO,,291464,296827,451775,Combined arts,Midlands,West Midlands,Warwick and Leamington,Warwick,Non-LUCP,Non-Priority place,
Liverpool & Merseyside Theatres Trust Ltd,NPO,,1649977,1680337,1680337,Theatre,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,"Started the 2018-22 portfolio as NPOs, but for various reasons didn't complete the funding period."
Liverpool Arab Arts Festival,NPO,,110000,112024,200912,Combined arts,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,
Liverpool Biennial of Contemporary Art Ltd,NPO,,788355,802861,802861,Visual arts,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,
Liverpool Lighthouse,NPO,,0,0,135000,Music,North,North West,"Liverpool, Walton",Liverpool,Non-LUCP,Non-Priority place,
London Arts in Health Forum,IPSO,,65662,66870,66870,Combined arts,London,London,Cities of London and Westminster,City of London,Non-LUCP,Non-Priority place,
London Borough of Barking and Dagenham,NPO,,180000,183312,183312,Libraries,London,London,Barking,Barking and Dagenham,Non-LUCP,Priority place,
London Borough of Merton,NPO,,0,0,116050,Libraries,London,London,Wimbledon,Merton,Non-LUCP,Non-Priority place,
London Borough of Waltham Forest - WILLIAM MORRIS GALLERY,NPO,,60000,61104,61104,Visual arts,London,London,Walthamstow,Waltham Forest,Non-LUCP,Non-Priority place,
London International Festival of Theatre,NPO,,452608,460936,460936,Theatre,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,
London Philharmonic Orchestra,NPO,,2042222,2079799,1830223,Music,London,London,Vauxhall,Lambeth,Non-LUCP,Non-Priority place,
London Symphony Orchestra,NPO,,2206050,2246641,1977044,Music,London,London,Cities of London and Westminster,City of London,Non-LUCP,Non-Priority place,
London Transport Museum,NPO,,249000,253582,253582,Museums,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,
Loud In Libraries CIC,NPO,,113490,115578,167278,Music,North,North West,Wigan,Wigan,LUCP,Priority place,
LUNG Productions CIO,NPO,,0,0,206699,Theatre,North,Yorkshire and The Humber,Penistone and Stocksbridge,Barnsley,LUCP,Priority place,
Luton Carnival Arts Development Trust,NPO,,150000,152760,171260,Combined arts,South East,East of England,Luton South,Luton,LUCP,Priority place,
Luton Cultural Services Trust - Wardown House,NPO,,249000,253582,332638,Museums,South East,East of England,Luton South,Luton,LUCP,Priority place,
LUX,NPO,,202122,205841,205841,Visual arts,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,
Lyrici Arts,NPO,,0,0,222476,Theatre,South East,South East,Rochester and Strood,Medway,LUCP,Priority place,
M6 THEATRE COMPANY LIMITED,NPO,,199320,202987,300000,Theatre,North,North West,Rochdale,Rochdale,LUCP,Priority place,
Madlove Ltd,NPO,,0,0,150000,Combined arts,South East,South East,North Thanet,Thanet,Non-LUCP,Non-Priority place,
Magic Me,NPO,,0,0,157994,Combined arts,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,
Magic Sound Ltd,NPO,,0,0,150000,Music,London,London,Brent Central,Brent,Non-LUCP,Priority place,
Magna Vitae,NPO,,150000,152760,320796,Combined arts,Midlands,East Midlands,Louth and Horncastle,East Lindsey,LUCP,Priority place,
Magpie Dance,NPO,,0,0,150000,Dance,London,London,Bromley and Chislehurst,Bromley,Non-LUCP,Non-Priority place,
Mahogany Community Ventures Limited,NPO,,154992,157844,157844,Combined arts,London,London,Brent Central,Brent,Non-LUCP,Priority place,
MAIA,NPO,,0,0,273600,Combined arts,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,
MAKE Southwest,NPO,,155557,158419,158149,Visual arts,South West,South West,Central Devon,Teignbridge,Non-LUCP,Non-Priority place,
"Making Music, the National Federation of Music Societies",IPSO (Transfer),,0,0,85550,Music,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,
Manchester Camerata Limited,NPO,,156620,159502,159502,Music,North,North West,"Manchester, Gorton",Manchester,Non-LUCP,Non-Priority place,
Manchester City Galleries,NPO,,1597659,1627056,1627056,Museums,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,
Manchester Collective,NPO,,0,0,120000,Music,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,
Manchester Craft And Design,NPO,,80000,81472,81472,Visual arts,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,
Manchester Jazz Festival,NPO,,150522,153292,153292,Music,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,
Manchester Jewish Museum,NPO,,110000,112024,112024,Museums,North,North West,Blackley and Broughton,Manchester,Non-LUCP,Non-Priority place,
Manchester Literature Festival,NPO,,76661,78072,78072,Literature,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,
Manchester Young People's Theatre trading as Contact,NPO,,916435,933297,933297,Theatre,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,
Mandala Theatre Company CIO,NPO,,0,0,90000,Theatre,South East,South East,Oxford East,Oxford,Non-LUCP,Non-Priority place,
Mansfield District Council,NPO,,0,0,579304,Combined arts,Midlands,East Midlands,Mansfield,Mansfield,LUCP,Priority place,
Marlborough Theatre Productions Ltd,NPO,,0,0,225000,Theatre,South East,South East,"Brighton, Kemptown",Brighton and Hove,Non-LUCP,Non-Priority place,
Marsm,NPO,,0,0,150000,Music,London,London,Islington South and Finsbury,Islington,Non-LUCP,Non-Priority place,
Matt's Gallery Ltd,NPO,,153385,156207,156207,Visual arts,London,London,Battersea,Wandsworth,Non-LUCP,Non-Priority place,
Mayflower Academy Ltd,NPO,,0,0,950000,Theatre,South West,South East,"Southampton, Itchen",Southampton,Non-LUCP,Non-Priority place,
MAYK Theatre CIC,NPO,,90000,91656,91656,Theatre,South West,South West,Bristol East,"Bristol, City of",Non-LUCP,Non-Priority place,
Meadow Arts,NPO,,160928,163889,163889,Visual arts,Midlands,Wales,Brecon and Radnorshire,Powys,Non-LUCP,Non-Priority place,
Mediale,NPO,,0,0,196000,Visual arts,North,Yorkshire and The Humber,Selby and Ainsty,Selby,LUCP,Priority place,
Mercury Musical Developments,NPO (Transfer),,124467,126757,126757,Theatre,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,
Metal Culture Ltd,NPO,,565378,575781,575781,Combined arts,South East,East of England,Southend West,Southend-on-Sea,Non-LUCP,Non-Priority place,
Metro-Boulot-Dodo Limited,NPO,,140000,142576,142576,Combined arts,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,
MeWe Foundation,IPSO,,195000,198588,198588,Not discipline specific,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,
Middle Child,NPO,,150000,152760,152760,Theatre,North,Yorkshire and The Humber,Kingston upon Hull West and Hessle,"Kingston upon Hull, City of",Non-LUCP,Non-Priority place,
Middlesbrough Town Hall,NPO,,249000,253582,253500,Music,North,North East,Middlesbrough,Middlesbrough,LUCP,Priority place,
Midlands Arts Centre,NPO,,739146,752746,752746,Combined arts,Midlands,West Midlands,"Birmingham, Hall Green",Birmingham,Non-LUCP,Non-Priority place,
MIF,NPO,,9729134,9908150,9908150,Combined arts,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,
Mikron Theatre Company,NPO,,47800,48680,70000,Theatre,North,Yorkshire and The Humber,Colne Valley,Kirklees,LUCP,Priority place,
Milap Festival Trust,NPO,Yes,362908,369586,477389,Combined arts,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,
Milton Keynes Arts Centre LTD,NPO,,98000,99803,99803,Visual arts,South East,South East,Milton Keynes North,Milton Keynes,Non-LUCP,Non-Priority place,
Milton Keynes Islamic Arts Heritage and Culture Organisation,NPO,,0,0,195000,Combined arts,South East,South East,Milton Keynes South,Milton Keynes,Non-LUCP,Non-Priority place,
Mimbre,NPO,,125773,128087,128087,Theatre,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,
Mimosa House CIO,NPO,,0,0,100000,Visual arts,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,
Mind the Gap,NPO,,246390,250924,310864,Theatre,North,Yorkshire and The Humber,Bradford West,Bradford,Non-LUCP,Non-Priority place,
Miracle Theatre Trust Ltd,NPO,,95000,96748,96748,Theatre,South West,South West,Camborne and Redruth,Cornwall,Non-LUCP,Non-Priority place,
MishMash Music,NPO,,0,0,133000,Music,Midlands,East Midlands,Broxtowe,Broxtowe,Non-LUCP,Non-Priority place,
MK Gallery,NPO,,383307,390360,390360,Visual arts,South East,South East,Milton Keynes North,Milton Keynes,Non-LUCP,Non-Priority place,
Modern Art Oxford,NPO,,892347,908766,908766,Visual arts,South East,South East,Oxford East,Oxford,Non-LUCP,Non-Priority place,
Modern Poetry in Translation,NPO,,50000,50920,70920,Literature,South East,South East,Oxford East,Oxford,Non-LUCP,Non-Priority place,
Modus Arts,NPO (Transfer),,0,0,150000,Visual arts,London,London,Tottenham,Haringey,Non-LUCP,Non-Priority place,
More Music,NPO,,105609,107552,107552,Music,North,North West,Morecambe and Lunesdale,Lancaster,Non-LUCP,Non-Priority place,
Mortal Fools,NPO,,0,0,180000,Theatre,North,North East,Wansbeck,Northumberland,LUCP,Non-Priority place,
Motionhouse,NPO,,468806,477432,477432,Dance,Midlands,West Midlands,Warwick and Leamington,Warwick,Non-LUCP,Non-Priority place,
Multistory,NPO,,140812,143403,243361,Combined arts,Midlands,West Midlands,West Bromwich East,Sandwell,LUCP,Priority place,
Multi-Story Music,NPO,,0,0,150000,Music,South East,South East,Oxford West and Abingdon,Oxford,Non-LUCP,Non-Priority place,
Museum of English Rural Life,NPO,,249999,254599,304499,Museums,South East,South East,Reading East,Reading,Non-LUCP,Non-Priority place,
Museum of London,NPO,,1344820,1369565,1120240,Museums,London,London,Cities of London and Westminster,City of London,Non-LUCP,Non-Priority place,See Museums Development comment on the 'MD comments' tab.
Music Action International,NPO,,0,0,110000,Music,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,
Music for Youth,NPO (Transfer),Yes,171840,175002,279980,Music,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,
Music in the Round,NPO,,142963,145594,145594,Music,North,Yorkshire and The Humber,Sheffield Central,Sheffield,Non-LUCP,Non-Priority place,
Music Managers Forum Ltd,NPO,,0,0,120000,Music,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,
Music24,NPO,,0,0,95000,Music,South East,East of England,Luton South,Luton,LUCP,Priority place,
Musiko Musika,NPO,,107914,109900,109900,Music,London,London,Hackney North and Stoke Newington,Hackney,Non-LUCP,Non-Priority place,
Mytime Active,NPO,,81957,83465,83464,Music,London,London,Orpington,Bromley,Non-LUCP,Non-Priority place,
National Association for Gallery Education (engage),IPSO (Transfer),,229806,234034,234034,Visual arts,London,London,Islington South and Finsbury,Islington,Non-LUCP,Non-Priority place,
National Centre for Writing,NPO,,498405,507576,586582,Literature,South East,East of England,Norwich South,Norwich,Non-LUCP,Non-Priority place,
National Children's Orchestras of Great Britain,NPO,Yes,0,0,300000,Music,South West,South West,Bristol East,"Bristol, City of",Non-LUCP,Non-Priority place,
National Criminal Justice Arts Alliance,IPSO,,65000,66196,66196,Not discipline specific,South East,East of England,West Suffolk,West Suffolk,Non-LUCP,Non-Priority place,
National Football Museum,NPO,,0,0,350000,Museums,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,
National Justice Museum,NPO,,240000,244416,244416,Museums,Midlands,East Midlands,Nottingham South,Nottingham,Non-LUCP,Non-Priority place,
National Opera Studio,NPO,,168221,171316,171316,Music,London,London,Putney,Wandsworth,Non-LUCP,Non-Priority place,
National Paralympic Heritage Trust,NPO,,0,0,100000,Museums,South East,South East,Aylesbury,Buckinghamshire,Non-LUCP,Non-Priority place,
National Rural Touring Forum,IPSO,,86583,88176,154308,Combined arts,South East,South East,Newbury,West Berkshire,Non-LUCP,Non-Priority place,
National Student Drama Festival,NPO,,56543,57583,57583,Theatre,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,
National Theatre,NPO,,16700000,17007280,16156916,Theatre,London,London,Vauxhall,Lambeth,Non-LUCP,Non-Priority place,
National Youth Choirs of Great Britain,NPO,Yes,55297,56314,108017,Music,North,North East,City of Durham,County Durham,LUCP,Priority place,
National Youth Jazz Collective,NPO (Transfer),Yes,64439,65625,125876,Music,London,London,Islington South and Finsbury,Islington,Non-LUCP,Non-Priority place,
National Youth Jazz Orchestra,NPO,,125000,127300,127300,Music,London,London,Greenwich and Woolwich,Greenwich,Non-LUCP,Non-Priority place,
National Youth Orchestra of Great Britain,NPO,Yes,129198,131575,252377,Music,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,
National Youth Theatre of Great Britain,NPO,,305769,311395,311395,Theatre,London,London,Islington North,Islington,Non-LUCP,Non-Priority place,
New Adventures Charity,NPO,,1294000,1317810,1317810,Dance,South East,South East,South West Surrey,Waverley,Non-LUCP,Non-Priority place,
New Art Exchange Ltd,NPO,,852898,868591,1268591,Visual arts,Midlands,East Midlands,Nottingham East,Nottingham,Non-LUCP,Non-Priority place,
New Contemporaries (1988) Ltd,NPO,,117789,119956,119956,Visual arts,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,
New Earth Theatre Company,NPO,,175000,178220,178220,Theatre,London,London,"Lewisham, Deptford",Lewisham,Non-LUCP,Non-Priority place,
New International Encounter,NPO,,153323,156144,156144,Theatre,South East,East of England,Cambridge,Cambridge,Non-LUCP,Non-Priority place,
New Perspectives Theatre Company,NPO,,302745,308316,308616,Theatre,Midlands,East Midlands,Nottingham North,Nottingham,Non-LUCP,Non-Priority place,
New Wolsey Theatre Company Ltd,NPO,,936104,953328,953328,Theatre,South East,East of England,Ipswich,Ipswich,Non-LUCP,Non-Priority place,
New Writing North,NPO,,332123,320412,428234,Literature,North,North East,Newcastle upon Tyne East,Newcastle upon Tyne,Non-LUCP,Non-Priority place,
New Writing South,NPO,,124192,126477,146477,Literature,South East,South East,"Brighton, Pavilion",Brighton and Hove,Non-LUCP,Non-Priority place,
Newham Music,NPO,,0,0,189000,Music,London,London,West Ham,Newham,Non-LUCP,Priority place,
Newhampton Arts Centre,NPO,,180000,183312,251145,Combined arts,Midlands,West Midlands,Wolverhampton South West,Wolverhampton,LUCP,Priority place,
Newlyn Art Gallery Ltd,NPO,,361761,368417,368417,Visual arts,South West,South West,St Ives,Cornwall,Non-LUCP,Non-Priority place,
Next Door But One,NPO,,0,0,80000,Theatre,North,Yorkshire and The Humber,York Central,York,Non-LUCP,Non-Priority place,
Nine Arches Press,NPO,,62500,63650,63650,Literature,Midlands,West Midlands,Rugby,Rugby,Non-LUCP,Non-Priority place,
NMC Recordings Ltd.,NPO,,40000,40736,50000,Music,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,
NN Contemporary Art,NPO,,60000,61104,61104,Visual arts,Midlands,East Midlands,Northampton South,West Northamptonshire,Non-LUCP,Non-Priority place,
NoFit State Community Circus Ltd,NPO,,201160,204861,204861,Theatre,Midlands,Wales,Cardiff Central,Cardiff,Non-LUCP,Non-Priority place,
Norden Farm Centre for the Arts Trust,NPO,,0,0,325682,Combined arts,South East,South East,Maidenhead,Windsor and Maidenhead,Non-LUCP,Non-Priority place,
Norfolk and Norwich Festival Trust,NPO,,1314527,1338714,1288416,Combined arts,South East,East of England,Norwich South,Norwich,Non-LUCP,Non-Priority place,
Norfolk Museums Service,NPO,,1639452,1225308,1375308,Museums,South East,East of England,Norwich South,Norwich,Non-LUCP,Non-Priority place,See Museums Development comment on the 'MD comments' tab.
North Devon Council,NPO,,0,0,95000,Museums,South West,South West,North Devon,North Devon,LUCP,Priority place,
Landmark Theatres,NPO,,0,0,1000000,Theatre,South West,South West,North Devon,North Devon,LUCP,Priority place,
North East Theatre Trust Ltd,NPO,,626723,638255,638255,Theatre,North,North East,Newcastle upon Tyne East,Newcastle upon Tyne,Non-LUCP,Non-Priority place,
North Kesteven District Council,NPO,,201160,204861,204861,Visual arts,Midlands,East Midlands,Sleaford and North Hykeham,North Kesteven,LUCP,Non-Priority place,
North Lincolnshire Council 20-21 Visual Arts Centre,NPO,,74745,76120,210000,Visual arts,North,Yorkshire and The Humber,Scunthorpe,North Lincolnshire,LUCP,Non-Priority place,
North Music Trust,NPO,,3512122,3576745,3576745,Music,North,North East,Gateshead,Gateshead,Non-LUCP,Non-Priority place,
North Yorkshire Moors Railway Trust,NPO,,0,0,250000,Museums,North,Yorkshire and The Humber,Thirsk and Malton,Ryedale,Non-LUCP,Non-Priority place,
Northampton Theatres Trust,NPO,,846666,862245,862245,Theatre,Midlands,East Midlands,Northampton South,West Northamptonshire,Non-LUCP,Non-Priority place,
Northern Ballet Limited,NPO,,3112000,3169261,3289261,Dance,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,
Northern Broadsides Theatre Company,NPO,,255287,259984,259984,Theatre,North,Yorkshire and The Humber,Halifax,Calderdale,Non-LUCP,Non-Priority place,
Northern Heartlands,NPO,,0,0,100000,Combined arts,North,North East,Bishop Auckland,County Durham,LUCP,Priority place,
Northern Lines,NPO,,0,0,370000,Theatre,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,
Northern Print,NPO,,106648,108610,108610,Visual arts,North,North East,Newcastle upon Tyne East,Newcastle upon Tyne,Non-LUCP,Non-Priority place,
Northern School of Contemporary Dance,NPO,,150000,152760,152760,Dance,North,Yorkshire and The Humber,Leeds North East,Leeds,Non-LUCP,Non-Priority place,
Northern Stage (Theatrical Productions) Ltd,NPO,,1562496,1591246,1591246,Theatre,North,North East,Newcastle upon Tyne Central,Newcastle upon Tyne,Non-LUCP,Non-Priority place,
Norwich Arts Centre,NPO,,182071,185421,185421,Combined arts,South East,East of England,Norwich South,Norwich,Non-LUCP,Non-Priority place,
not/nowhere arts ltd,NPO,,55419,56439,56439,Visual arts,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,
Nottingham City Museums and Galleries,NPO,,466197,474775,474775,Museums,Midlands,East Midlands,Nottingham South,Nottingham,Non-LUCP,Non-Priority place,
Nottingham Contemporary,NPO,,1005796,1024303,1024303,Visual arts,Midlands,East Midlands,Nottingham South,Nottingham,Non-LUCP,Non-Priority place,
Nottingham Media Centre Ltd,NPO,,100580,102431,102431,Visual arts,Midlands,East Midlands,Nottingham South,Nottingham,Non-LUCP,Non-Priority place,
Nottingham Playhouse,NPO,,1354807,1379735,1379735,Theatre,Midlands,East Midlands,Nottingham South,Nottingham,Non-LUCP,Non-Priority place,
"Nottingham, UNESCO City of Literature",NPO,,0,0,130000,Literature,Midlands,East Midlands,Nottingham South,Nottingham,Non-LUCP,Non-Priority place,
November Club,NPO,,100678,102530,132530,Theatre,North,North East,Wansbeck,Northumberland,LUCP,Non-Priority place,
Nupur Arts Dance Academy,NPO,,0,0,120000,Dance,Midlands,East Midlands,Leicester East,Leicester,Non-LUCP,Non-Priority place,
Nutkhut,NPO,,100924,102781,177781,Combined arts,South West,South East,Aldershot,Rushmoor,LUCP,Priority place,
Oblique Arts,NPO,,0,0,51000,Visual arts,South East,East of England,Cambridge,Cambridge,Non-LUCP,Non-Priority place,
Ockham's Razor,NPO,,181044,184375,184375,Theatre,London,London,Hammersmith,Hammersmith and Fulham,Non-LUCP,Non-Priority place,
"Octagon Theatre, Somerset",NPO,,0,0,253333,Theatre,South West,South West,Yeovil,Somerset Council ,LUCP,Priority place,
