recipient,company_number,total_grants,funding
Tyne and Wear Archives and Museums,,10,4697353
Tyne and Wear Building Preservation Trust Ltd,1444058,4,52391
Tyne and Wear Building Preservation Trust Ltd,,2,41359
Tyne and Wear Eritrean Community Association,,2,19959
Tyne and Wear Integration Support,,1,9760
Tyneside Badminton Centre CIC,7883342,1,5000
Tyneside Cinema,1113101,8,975525
Tyneside Cinema,,3,1575979
Tyneside Irish Cultural Society,2892258,1,9950
Tyneside Irish Cultural Society Limited,2892258,2,29750
Tyneside Outdoors,,5,13553
"Tyneside Outdoors, Temple Raiders",,1,3137.25
Tyneside Titans Korfball Club,,2,2492
Tyneside Vineyard,CE002590,3,15000
Tyneside and Northumberland Mind,7552434,9,39231
Tyneside and Northumberland Mind,,1,87023
UNIVERSITY OF NEWCASTLE,,6,140857.15
UNIVERSITY OF NEWCASTLE UPON TYNE,,19,5822143.5200000005
UNIVERSITY OF NORTHUMBRIA AT NEWCASTLE,3362064,8,6953681.88
UNIVERSITY OF NORTHUMBRIA AT NEWCASTLE,,16,19630109.39
URBAN FORESIGHT LIMITED,7705420,5,230665
URBAN GREEN NEWCASTLE,11533203,6,686574.1699999999
US,,1,2021
US,CE006191,6,28842
US Charity,,1,3578.87
Unfolding Theatre,6764666,11,108950
Unfolding Theatre,,1,10000
University Centre Quayside Ltd (NIMIIS LTD),3413741,2,376404.99
University Of Northumbria at Newcastle,,1,388418
Unlock Music CIC,13277858,3,32500
Upstart Enterprise CIC,11824355,6,56389
Urban Education and Training Limited,10365255,2,1133055.6700000002
Urban Green Newcastle,11533203,5,251994
Useful Vision,5312269,9,46220
Useful Vision,,3,43092.22
Utopia,,2,12125
VIRGIN MONEY UK PLC,9595911,2,15599.36
VOLUNTARY ORGANISATIONS' NETWORK NORTH EAST,4061592,1,19590.46
VONNE,4061592,9,69010
Vane Contemporary Art Limited,4313545,1,61517
Voices Of Virtue Gospel Choir,11882573,1,9991
Voices of Virtue Gospel Choir,11882573,1,9700
Voluntary Organisations Network North east,4061592,2,141296
Voluntary Organisations' Network North East,4061592,1,38602
Voluntary Organisations' Network North East (VONNE),4061592,4,684547
W & M WHOLESALE LIMITED,2607133,1,2000
W D CLOSE AND SONS,7454865,1,36363
W D CLOSE AND SONS LIMITED,2031962,1,33270.93
WALBOTTLE VILLAGE PRIMARY BCAP ACC,,1,15334
WALBOTTLE VILLAGE PRIMARY SCHOOL,,1,1200
WALKER SUBSEA ENGINEERING LTD,7632755,1,285655.3
WALKERGATE COMMUNITY SCHOOL,,4,153854
WEEK2WEEK SERVICED APARTMENTS,7410985,1,7564.5
WELBECK ACADEMY,,1,1200
WEST END REFUGEE SERVICE (WERS),,2,47034.8
WEST JESMOND PRIMARY SCHOOL,,2,53334
WEST WALKER PRIMARY SCHOOL,,3,530475
WINNOVATION LIMITED,6862920,2,92120.57
WINNOVATION TRAINING,12796059,2,13628.720000000001
WORKPLACE FOUNDATION,5312213,3,244971
WYNDHAM PRIMARY SCHOOL,,3,112737
Wag & Company North East Friendship Dogs,9734369,1,49399
Walbottle Academy,,2,235048.33000000002
Walbottle Village Institute CIO,,2,11625
Walbottle Village Primary,,1,2000
Walbottle Village Primary School,,3,40500
Walbottle Village Tenants and Residents Association,,1,2738
Walker & District Foodbank,,8,102422.43
Walker Challenge Group,,1,3750
Walker Technology College,,1,6411.67
Walker and district foodbank (The City of God Christian Centre),6295641,1,9600
Wallsend Eagles RLFC,,1,8750
Waverley Primary School,,1,4500
Welcome to Badminton,,1,11400
West Denton Primary School,,1,5000
West End RFC,11203943,2,11928
West End Refugee Service,1077601,1,33000
West End Refugee Service,,28,506289.97
West End Refugee Service,CE022944,7,23150
West End Schools Trust,9404360,20,59951
West End Women & Girls Centre,,1,5000
West End Women and Girls,,1,40000
West End Women and Girls Centre,,27,419981
West End Women and Girls Centre,CE002861,9,86213
West Jesmond Allotment Association,,1,9763
West Newcastle Academy,,2,14919
West Newcastle Family Forest School,,1,1783.27
Westerhope Bowls Club,,1,446
Westerhope United Football Club,,1,2000
Westgate Baptist Church,,1,24621
Westgate Hill Primary Academy,,1,1200
Westmacott Street Allotments,,1,8591
What's Behind The Smile CIC,11879686,1,9900
Whittonstall Community Group (WCG),,1,970.8
Willow's Rainbow Box,,2,5375
Wingrove Primary School,,3,9298
Wipe Out Music Ltd,3091012,1,55127
Womble Bond Dickinson (UK) LLP (Client Account),OC317661,8,5739235.180000001
Women's Reform CIC,13508660,1,10000
Women’s Reform [C.I.C.],13508660,1,10000
Wood Hub cic,13554454,1,19600
Wood Hub cic,,1,54000
Woodlands Playgroup Community Interest Company,9233777,1,8482
Wor Hoose Community Project,,10,65541
Wor hoose community project,,2,20000
Word of Faith Christian Church,,3,35040
Workers' Educational Association,2806910,1,63165
Workplace Foundation,5312213,1,12000
Woven Nest Theatre CIC,12945591,1,10000
Write on the Tyne Community interest Company,14111444,1,9720
YMCA (Newcastle),,1,141130
YMCA NEWCASTLE,,1,33000
YMCA Newcastle,3582739,2,40000
YMCA Newcastle,,3,6301
YMCA Newcastle Upon Tyne,3582739,2,30500
YOUR HOMES NEWCASTLE,,1,102202.1
YOUR HOMES NEWCASTLE (G),,1,149963.31
YOUR HOMES NEWCASTLE LIMITED,5076256,2,317592.68
Your Homes Newcastle,5076256,1,2500
a-n The Artists Information Company,1626331,4,731669
a-n The Artists Information Company,,1,216669
balletLORENT,5093450,8,86596
dwmotorworks,10430024,1,1000
sevenoaks vending and catering,,1,1000
wor hoose community project,,2,800
